label,frame_index,v1,v2,v3,v4,v5,v6,v7,v8,v9,v10,v11,v12,v13,v14,v15,v16,v17,v18,v19,v20,v21,v22,v23,v24,v25,v26,v27,v28,v29,v30,v31,v32,v33,v34,v35,v36,v37,v38,v39,v40,v41,v42,v43,v44,v45,v46,v47,v48,v49,v50,v51,v52,v53,v54,v55,v56,v57,v58,v59,v60,v61,v62,v63,v64,v65,v66,v67,v68
p,344,0.0,0.0,0.0,0.0,0.0,0.026983774229884162,0.3597660142183303,0.0,0.0,0.0,0.0,0.0,0.027034207545220866,0.35985679447650903,0.016014603413641453,9.193584628519627e-05,0.007666300125420077,0.07315220817923543,0.07226507201790813,0.004662234967108781,0.0009305035765282773,0.0086103102285415,-0.00015252641373081138,0.057490843012929026,0.05413712687790399,-0.0004187515703961253,0.00033245956874452544,0.015753653198480617,0.014270203337073337,0.08989388540387154,0.08080226138234138,0.021344077307730955,0.010734036061912788,-8.145936546497972e-05,-0.0001079832378309223,0.00018770357011817392,0.0006933213258162141,0.11159042105078691,0.10372591704130166,0.00013152575360436352,-0.0004156679781590379,-0.0006525667977984995,-0.0004604111990192904,0.22324544548988343,0.2073869377374649,0.20755273938179014,0.00010309324890840807,0.03525349467992783,0.04127324037253857,0.00021224987140158128,0.00023688514655077452,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t,531,0.0,0.0,0.0,0.0,0.0,0.037262977659702295,0.42837743163108827,0.0,0.0,0.0,0.0,0.0,0.03734381049871444,0.42841035723686216,0.02141807936131954,0.00016221422411035743,0.020303403586149217,0.08535906374454497,0.010575784742832179,0.2688568294048309,0.05187055692076685,0.007362114265561103,-0.00021195691660977884,0.0033796979871112904,0.007582271564751872,-4.51320258434868e-05,0.00023863390379119678,0.016909451782703398,0.01481349430978298,0.08777358531951904,0.09127746373414992,-4.068113921675832e-05,0.008650230802595613,-0.00019149911240674554,0.0007374015171080834,-4.1893087654898456e-05,0.0003886041347868742,0.22314583063125606,0.21490826606750485,0.09388757795095444,0.09445250481367112,-0.00019270469201728674,-9.16626158868892e-05,0.2007357448339462,0.22521053552627562,0.22537003159523009,0.00011290722904959692,0.04177949801087379,0.04833491444587708,0.0028555610449984706,0.009324862621724614,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S,212,0.0,0.0,0.0,0.0,0.0,0.01756780378520489,0.48378777503967285,0.0,0.0,0.0,0.0,0.0,0.017591650225222112,0.4836874634027481,0.00950687190517783,0.00032164595322683456,0.011195677462965247,0.05427149757742881,0.007180232405662541,0.4022553801536559,0.12362148478627204,0.008166947308927775,-0.0001380191040516364,0.0003756489523220809,0.0009909727249760181,0.04154380783438681,0.040024671889841545,0.012424795031547546,0.011090482976287603,0.07640705481171607,0.08369391843676566,0.00021964958490571017,0.006438800506293774,7.723345916019928e-06,0.0004580877913394941,7.911859327577995e-05,0.000692564998753369,0.2272125646471977,0.21345368236303325,0.08285053268074986,0.08321335300803182,-0.00023352555057499567,-6.623212648264607e-05,0.19322223097085953,0.19244331032037734,0.19257060438394547,0.0004639366228366271,0.024098446294665336,0.03031444624066353,0.00010282905659551022,0.001981421662494539,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
T,2062,0.0,0.0,0.0,0.0,0.0,0.02576635323464871,0.1755583542585371,0.0,0.0,0.0,0.0,0.0,0.02596692752093077,0.17580240368843061,0.008987283650785686,6.266090218559817e-05,0.008071762584149824,0.04273000344634049,0.027918766662478497,0.1312655030190941,0.03215051900595416,0.0033063607895746834,-3.5108225274598194e-05,0.05757623888552213,0.06431186832487606,-0.0003941286727786061,0.0004822439589770505,0.011060330644249916,0.011442231442779302,0.03923846118152138,0.039336310923099464,0.0008297333260998204,0.005179491592571139,0.00025828850753896904,0.0009594964142888766,0.0007273345137946314,0.0010700362850911919,0.12317595586180666,0.1238383713364599,0.03685524996370065,0.03892116885632264,-0.00010098429716890735,-0.0001272153957688722,0.1540812686085701,0.0857026594877243,0.08579740926623344,0.0003299771563615648,0.05245758108794692,0.06372412890195849,0.009982220772653849,0.01521414251998069,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
f,2424,0.0,0.0,0.0,0.0,0.0,0.023537397012114537,0.3453531736135483,0.0,0.0,0.0,0.0,0.0,0.023661442659795296,0.3454638260602951,0.011750973053276537,0.00022375025262590489,0.005201291069388392,0.04442784905433661,0.04822414942085744,0.024604869000614073,0.0025964891491458025,0.007813343759626147,-9.284253595978987e-05,0.050232487469911366,0.054653887003660015,-0.0002775616629514848,0.0003983452240936472,0.013811133597046143,0.012507716212421662,0.07426205620169639,0.06865030840039253,0.008564402135089003,0.008279194161295899,-4.8845030323719715e-05,8.341298293089626e-05,0.00011833526572445387,0.0004318602429702879,0.07980396240949662,0.07535095870494875,-1.687851530732929e-05,0.0005763809988275206,-0.0002888632263056945,-0.00014734328113263508,0.19438365757465353,0.10606253057718265,0.10618022352457035,0.00028445156727684563,0.03039377190172674,0.038284311369061484,0.00023924447013996608,0.00024133436992997354,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
k,1431,0.0,0.0,0.0,0.0,0.0,0.033520547300577165,0.3752246618270873,0.0,0.0,0.0,0.0,0.0,0.03370771780610085,0.37544968128204337,0.01570422574877739,0.00016388724616263057,0.02081430293619633,0.07790953069925304,0.007723611779510984,0.1978683829307555,0.0017078176606446492,0.008265583775937557,-9.171655547106654e-05,0.02800822705030445,0.028181215375661886,-0.0005259334575384856,0.0007279302692040797,0.014967147633433342,0.013169946521520615,0.10461693108081815,0.10803517550230024,0.00022215978533495157,0.0059623043984174725,-2.343308879062569e-05,0.0003800871083512901,-6.787093589082378e-05,-0.00031610411242581887,0.21314977407455432,0.20363040566444385,0.04887601211667057,0.04828242063522336,-0.0003729345975443721,-0.00017048939771484604,0.3018968939781189,0.3046749293804169,0.3048582196235657,-0.00016214811766985846,0.03519235104322434,0.039783975481987,0.00046081332839094103,0.0003112199541646989,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
i,274,0.0,0.0,0.0,0.0,0.0,0.014720077477395534,0.4451968783140182,0.0,0.0,0.0,0.0,0.0,0.01475612308830023,0.4450951862335205,0.012903436403721574,0.00010553899803198863,0.022537705898284917,0.10271691307425503,0.001028373463777825,0.4561309218406675,0.06809341803193088,0.006111267283558845,-0.00032686812395695577,-0.000336798123898916,0.0005747851752676074,0.055535623654723136,0.05180383913218972,0.009662355724722146,0.008366186637431383,0.09952942162752151,0.10787872791290282,2.6044855039799326e-05,0.004907451458275317,-0.0005834787199273703,0.0023475767555646582,-0.00018249256245326246,0.0005981444322969764,0.33097840666770934,0.3169785165786743,0.14704401612281795,0.14875145018100736,-0.0006387034663930536,-0.0004340551095083356,0.20218363523483276,0.21046116113662722,0.21061463803052904,0.00026528634218266224,0.022327162176370624,0.029087423831224445,0.0029984162049368013,0.016129493992775676,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
r,3418,0.0,0.0,0.0,0.0,0.0,0.052455295100808146,0.05824667364358903,0.0,0.0,0.0,0.0,0.0,0.052486092373728754,0.05809819199144841,0.0153865715675056,-0.00017330888891592625,0.00840638395398855,0.03260033160448074,0.0500152149796486,0.06804178565740578,0.053155140802264175,0.00336724522523582,-0.00021208063350059125,0.03862355802208189,0.036554121933877505,-0.00012382605404128396,0.00039090465172192976,0.01683284662663937,0.016506205499172217,0.05666786223649979,0.06030034624040127,0.003089755990076814,0.009815682955086232,0.0004965617286507043,-0.00036136550537776193,0.0006888998916838316,0.000588015899993479,0.05399294249713418,0.053222339078783966,0.0023034962592646414,0.0011788732092827485,-0.00044557951739989234,-0.00029110376257449413,0.24369818449020386,0.1538246563076973,0.15391845732927323,0.00032087642350234067,0.059829287901520735,0.06308481812477112,0.015870048459619285,0.01131453324109316,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
s,731,0.0,0.0,0.0,0.0,0.0,0.016835587471723555,0.40849485397338864,0.0,0.0,0.0,0.0,0.0,0.016845793277025223,0.4086269199848175,0.013587685674428938,-2.3839683126425375e-05,0.018876658380031584,0.043117179721593846,0.010305150598287585,0.10729244798421857,0.00744071598164738,0.005821987148374319,-0.00019040787592530255,0.07479359805583953,0.07447874844074248,-0.00016268924809992316,0.0002686201827600598,0.013464925438165664,0.01205393709242344,0.07629061490297318,0.08352198600769042,0.0002452433574944736,0.004290002305060625,0.00028728782781399807,0.002187805483117699,8.234908164013197e-05,0.0005511607159860433,0.13386747837066648,0.13009293079376216,0.03996056243777273,0.03818674013018606,-0.00048819879302755006,-0.0004513438616413624,0.22853886485099795,0.24138285219669342,0.24155653417110443,-2.36570776905851e-06,0.04627669677138328,0.0539374016225338,0.0028688451275229445,0.006098232790827748,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
u,412,0.0,0.0,0.0,0.0,0.0,0.04421308316290378,0.36698118150234216,0.0,0.0,0.0,0.0,0.0,0.04439461216330527,0.3671968019008636,0.017080086916685104,0.00039225420507136736,0.002319331527687609,0.0818322844803333,0.10033835679292678,0.033635586099699036,0.0031651462346780957,0.012891187760978938,-0.0001900966599350798,0.04195313073694714,0.04055949874222286,-0.0005085530987707893,0.0006787826656363898,0.023573416844010354,0.021396285369992257,0.1107185962796211,0.09695296615362164,0.025603259578347238,0.021953939571976663,-0.00015818095984286603,-0.00011442797331255872,0.00030821472115349013,0.0007488256297074258,0.12165533617138857,0.11162385314702983,-0.0001829096453730016,-0.0005692351562902339,-0.00045584516425151394,-0.00035795869072899236,0.22668971478939057,0.19465432196855545,0.1948411178588867,0.00020832398062339082,0.041422248929738996,0.04808830000460147,0.0002963790460489689,0.0003357189480448134,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
@,2582,0.0,0.0,0.0,0.0,0.0,0.03389804005622862,0.355425599217415,0.0,0.0,0.0,0.0,0.0,0.034034913703799234,0.355697599053383,0.02924361046403648,0.00011707143436069606,0.028482933081686493,0.16480668604373985,0.0023309630434960203,0.1522603586316112,-0.00021049977138318097,0.0051335028186440465,-0.00010572038227110229,0.0701957208663223,0.0778067633509634,-5.6773060859996025e-05,0.00034905641514342293,0.026806274093687518,0.02498708184808491,0.10771095171570773,0.10709018215537065,0.0001064192952617298,0.0079273109510541,6.13665471610144e-05,3.0285076754808095e-05,-5.057738717369152e-06,0.00038064795138779983,0.3181614995002755,0.31398250639438713,0.07888032481074345,0.08293324351310744,0.0002533542714081706,0.0001106040774902795,0.14754204809665683,0.0673089562356472,0.06732276439666748,1.6596269524598544e-05,0.03839998878538608,0.04687286637723445,-0.00014665838680230238,0.0008136525296140478,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
a,1825,0.0,0.0,0.0,0.0,0.0,0.06829942852258677,0.00036436773370951414,0.0,0.0,0.0,0.0,0.0,0.06839247107505794,0.0005365460575558241,0.02672115363180636,-0.00010762210004031664,0.03118923366069792,0.12414100259542439,0.002074350100010644,0.10706924885511382,7.993261970113425e-06,0.003189457971602681,5.97037217812614e-05,0.12608614921569825,0.119914992749691,-9.907726722303804e-05,0.00022673690749797982,0.020854460150003442,0.020931413844227798,0.05863196864724159,0.05725761339068413,9.686707730907206e-06,0.005494660492986443,2.5910621043294774e-05,0.0003738568327389656,0.0005933088832534855,0.00016036057437304456,0.2411237084865566,0.2407648456096645,0.07002656906843176,0.06661359548568715,0.00011118801980046565,8.4840588679072e-05,0.2329143929481506,0.20175898015499108,0.20186465978622428,-0.00014544753707014028,0.06116511031985282,0.060498961955308905,0.00453993005678058,0.002398231541737915,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
e,4594,0.0,0.0,0.0,0.0,0.0,0.016254144012928008,0.36036231577396405,0.0,0.0,0.0,0.0,0.0,0.01628207959234714,0.36031740725040445,0.05379218265414237,-0.00014881267183227472,0.0340578617155552,0.24593302398919994,0.000978389418451108,0.1434483832120892,2.2983207054491254e-06,0.005797685422003267,-0.00024398398410994493,0.13661234587430973,0.13637526214122786,-0.00023856317508034254,0.00031440088816452516,0.04037165209650997,0.03854747503995899,0.11706202313303946,0.1179581731557846,-0.00011989350430667319,0.009557391293346875,-7.380124952767397e-07,-2.807286800815453e-06,-0.00011328003369271733,0.00012074483078322454,0.505129780173301,0.49975133419036805,0.1144012334942818,0.11757621526718141,-0.00038463707198389005,-0.000170026876730846,0.23487576931715,0.19841769337654105,0.19851248979568473,-9.755575039889714e-05,0.05042656414210797,0.05621400915086271,-3.183196236932355e-05,0.0024437077529728428,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
E,1138,0.0,0.0,0.0,0.0,0.0,0.050753659084439295,0.020555523335933617,0.0,0.0,0.0,0.0,0.0,0.050908690989017506,0.020597493359818985,0.04867770045995714,-0.00017997050046687947,0.03741767376661301,0.21507680922746664,0.000961898202076555,0.15200023472309113,0.00015207403106614942,0.0051393952779471876,-0.00012248430983163408,0.16370281904935832,0.15737839460372918,-0.00025892844307236375,0.00032232615456450746,0.030966996438801297,0.030722360908985145,0.112025358080864,0.11802453368902212,8.614294813014603e-05,0.008905668314546348,-8.311983474413857e-05,-0.00029496316215954765,6.85593985690501e-05,-0.00031827967497520174,0.46692146658897404,0.46246143579483034,0.11872535049915314,0.11579405531287193,-0.00018460049293935306,5.478960316395384e-05,0.37185124397277836,0.32946944653987886,0.3296221536397934,-0.00011548134614713495,0.07084491118788719,0.06937462911009788,0.0016187738580629226,0.0017252617096528394,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
o,1312,0.0,0.0,0.0,0.0,0.0,0.040594274774193764,0.25816607743501657,0.0,0.0,0.0,0.0,0.0,0.040705675780773165,0.258310894370079,0.021923437863588337,2.141689091047271e-05,0.027701662816107277,0.09475555151700973,0.0068963782303035235,0.17930759608745572,0.00025649424671428243,0.006445092037320135,-0.00013432704712613473,-0.00016546004335395997,7.834067939256757e-05,0.0014271595422178515,0.002181073157116771,0.017685890793800355,0.016281579919159416,0.11796309098601342,0.1222043465077877,-7.135047140764072e-05,0.00603783511556685,-0.00015888689522398634,0.000212682623823639,-0.00014399180610780575,-0.0005139924632385371,0.21048401832580566,0.2037740921974182,0.04977459765970708,0.05007942065596581,-0.00033488461107481285,-0.0001737518954905682,0.3550994646549225,0.32378366887569426,0.32395004749298095,-0.0002677568950457499,0.03835416734218598,0.03973176494240761,0.000387977411155589,6.628256249314252e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
O,887,0.0,0.0,0.0,0.0,0.0,0.027738115638494498,0.48067599892616275,0.0,0.0,0.0,0.0,0.0,0.027931170463562017,0.481173666715622,0.019916005209088344,0.00017590608564205457,0.004523033080622562,0.2364417469501497,0.12117973297834396,0.2641401076316836,0.1797061389684678,0.012278301119804382,-0.00042933357064612205,-0.0005605504428967842,0.0001309662120183919,0.1806602519750596,0.18126702845096596,0.015589975640177726,0.013556893914937971,0.10732951730489734,0.1045944738388062,0.003041967526078221,0.017102576419711114,-0.0006693436601199206,-0.0003121575317345562,0.0005940341530367726,0.0009191904333420092,0.2022216832637788,0.18586167991161356,0.0008067975123412943,-0.0003504383377730818,-0.0005562116764485837,-0.0006966734933666886,0.3553736007213593,0.3183120739459992,0.31852778673172,0.0008993553370237352,0.03484009653329849,0.036864210516214364,0.0001406787772430109,0.00011131575418403375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sil,5149,0.0,0.0,0.0,0.0,0.0,0.02273033998906602,0.346354417800903,0.0,0.0,0.0,0.0,0.0,0.022977043166756524,0.34670195698738066,0.02002911038696761,0.0006432485696859639,0.0017128553893417191,0.03543443560600274,0.04541943654417985,0.00010589614292257126,0.0010197312012315148,0.008836105987429599,0.00024831699556670844,0.0934476819634439,0.09378611832857145,-0.00026135435502510403,0.00023439499316736957,0.028076673895120585,0.028620558530092204,0.06307500541210163,0.0613966092467307,0.06535759761929495,0.020627889037132193,0.022259329110383936,0.006927182544022777,0.005288955103605966,0.006549800578504779,0.032296362966299036,0.02910411380231379,-0.00032827932620421295,0.0008303720806725233,-0.0003175202407874162,-0.00030214217142201805,0.12088646709918957,0.1150447878241534,0.11515356600284525,0.002043505692854524,0.04512662485241887,0.05690911248326298,0.002436871388927105,0.005405537504702815,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
